,precision,recall,f1-score,support
(vertigo) Paroymsal  Positional Vertigo,0.7857142857142857,1.0,0.88,11.0
AIDS,1.0,1.0,1.0,2.0
Acne,1.0,1.0,1.0,2.0
Alcoholic hepatitis,0.8846153846153846,0.9583333333333334,0.92,24.0
Allergy,1.0,1.0,1.0,2.0
Arthritis,0.8333333333333334,1.0,0.9090909090909091,5.0
Bronchial Asthma,0.6666666666666666,1.0,0.8,12.0
Cervical spondylosis,0.8333333333333334,1.0,0.9090909090909091,5.0
Chicken pox,0.9344262295081968,0.95,0.9421487603305785,120.0
Chronic cholestasis,0.6774193548387096,0.875,0.7636363636363637,24.0
Common Cold,1.0,0.9583333333333334,0.9787234042553191,120.0
Dengue,1.0,0.9,0.9473684210526315,120.0
Diabetes,0.9916666666666667,0.9916666666666667,0.9916666666666667,120.0
Dimorphic hemmorhoids(piles),1.0,1.0,1.0,5.0
Drug Reaction,1.0,1.0,1.0,5.0
Fungal infection,0.5,1.0,0.6666666666666666,2.0
GERD,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Gastroenteritis,1.0,0.5,0.6666666666666666,2.0
Heart attack,0.2857142857142857,1.0,0.4444444444444444,2.0
Hepatitis B,0.9827586206896551,0.95,0.9661016949152542,120.0
Hepatitis C,0.48,1.0,0.6486486486486487,12.0
Hepatitis D,0.7522935779816514,0.8118811881188119,0.780952380952381,101.0
Hepatitis E,0.9904761904761905,0.8666666666666667,0.9244444444444444,120.0
Hypertension,1.0,0.8,0.8888888888888888,5.0
Hyperthyroidism,1.0,0.95,0.9743589743589743,120.0
Hypoglycemia,0.9833333333333333,0.9833333333333333,0.9833333333333333,120.0
Hypothyroidism,0.975609756097561,1.0,0.9876543209876543,120.0
Impetigo,0.8333333333333334,1.0,0.9090909090909091,5.0
Jaundice,0.7419354838709677,0.92,0.8214285714285714,50.0
Malaria,0.8305084745762712,0.98,0.8990825688073395,50.0
Migraine,0.9711538461538461,1.0,0.9853658536585366,101.0
Osteoarthristis,1.0,0.9166666666666666,0.9565217391304348,12.0
Paralysis (brain hemorrhage),1.0,0.5,0.6666666666666666,2.0
Peptic ulcer diseae,0.8571428571428571,1.0,0.9230769230769231,12.0
Pneumonia,0.92,0.9583333333333334,0.9387755102040817,120.0
Psoriasis,1.0,1.0,1.0,11.0
Tuberculosis,1.0,0.8666666666666667,0.9285714285714286,120.0
Typhoid,0.9910714285714286,0.925,0.9568965517241379,120.0
Urinary tract infection,1.0,1.0,1.0,2.0
Varicose veins,1.0,1.0,1.0,24.0
hepatitis A,0.9903846153846154,0.8583333333333333,0.9196428571428571,120.0
accuracy,0.9349830179524503,0.9349830179524503,0.9349830179524503,0.9349830179524503
macro avg,0.8908835217399,0.9348611080620258,0.8963066023249736,2061.0
weighted avg,0.9467603634453807,0.9349830179524503,0.937771575780945,2061.0
